iter	Passed	Remaining
407	3904	5664
408	3906	5644
409	3909	5625
410	3911	5605
411	3915	5587
412	3917	5568
413	3920	5549
414	3923	5530
415	3925	5510
416	3927	5491
417	3930	5472
418	3932	5452
419	3935	5435
420	3938	5416
421	3941	5398
422	3943	5379
423	3947	5362
424	3949	5343
425	3952	5325
426	3954	5306
427	3958	5290
428	3960	5271
429	3963	5253
430	3964	5234
431	3968	5217
432	3970	5199
433	3973	5182
434	3976	5164
435	3979	5147
436	3982	5130
437	3984	5112
438	3987	5095
439	3989	5077
440	3991	5060
441	3994	5043
442	3998	5027
443	4001	5011
444	4004	4994
445	4008	4979
446	4011	4963
447	4014	4945
448	4016	4928
449	4019	4912
450	4022	4897
451	4025	4880
452	4028	4864
453	4030	4847
454	4034	4832
455	4036	4815
456	4039	4799
457	4042	4784
458	4045	4768
459	4049	4753
460	4051	4737
461	4054	4722
462	4057	4705
463	4060	4690
464	4064	4675
465	4066	4660
466	4069	4644
467	4072	4629
468	4075	4614
469	4078	4599
470	4082	4584
471	4085	4570
472	4088	4555
473	4091	4540
474	4094	4525
475	4097	4510
476	4100	4496
477	4103	4481
478	4106	4466
479	4109	4452
480	4112	4437
481	4115	4422
482	4118	4408
483	4122	4394
484	4124	4379
485	4127	4365
486	4131	4351
487	4134	4338
488	4136	4323
489	4140	4309
490	4143	4295
491	4146	4281
492	4149	4267
493	4152	4253
494	4156	4240
495	4159	4226
496	4162	4212
497	4164	4198
498	4166	4183
499	4169	4169
500	4172	4156
501	4176	4143
502	4179	4129
503	4183	4117
504	4186	4104
505	4190	4090
506	4193	4078
507	4196	4064
508	4199	4050
509	4201	4037
510	4205	4024
511	4208	4010
512	4212	3998
513	4215	3985
514	4218	3972
515	4220	3958
516	4223	3946
517	4227	3933
518	4230	3920
519	4233	3907
520	4236	3895
521	4240	3883
522	4243	3870
523	4245	3857
524	4248	3844
525	4251	3831
526	4254	3818
527	4257	3806
528	4261	3793
529	4264	3781
530	4267	3769
531	4269	3756
532	4272	3743
533	4275	3730
534	4277	3717
535	4280	3705
536	4282	3692
537	4285	3680
538	4288	3668
539	4291	3655
540	4294	3643
541	4296	3630
542	4299	3618
543	4302	3606
544	4305	3594
545	4308	3582
546	4311	3570
547	4315	3559
548	4318	3547
549	4321	3535
550	4324	3524
551	4328	3512
552	4331	3500
553	4334	3489
554	4337	3477
555	4340	3466
556	4343	3454
557	4347	3443
558	4350	3431
559	4353	3420
560	4355	3408
561	4358	3396
562	4361	3385
563	4365	3374
564	4370	3365
565	4373	3353
566	4375	3341
567	4379	3330
568	4383	3320
569	4386	3309
570	4389	3298
571	4393	3287
572	4396	3276
573	4399	3265
574	4402	3253
575	4405	3243
576	4409	3232
577	4413	3222
578	4415	3210
579	4419	3200
580	4422	3189
581	4426	3179
582	4430	3169
583	4435	3159
584	4439	3149
585	4442	3138
586	4445	3127
587	4448	3116
588	4451	3105
589	4454	3095
590	4457	3084
591	4461	3074
592	4464	3064
593	4468	3054
594	4471	3043
595	4479	3036
596	4482	3026
597	4487	3016
598	4492	3007
599	4496	2997
600	4500	2987
601	4504	2977
602	4509	2968
603	4514	2959
604	4519	2950
605	4523	2940
606	4528	2931
607	4531	2921
608	4536	2912
609	4541	2903
610	4546	2894
611	4551	2885
612	4554	2875
613	4559	2866
614	4562	2856
615	4566	2846
616	4568	2835
617	4571	2825
618	4575	2816
619	4578	2806
620	4581	2795
621	4584	2786
622	4588	2776
623	4591	2766
624	4594	2756
625	4597	2746
626	4600	2736
627	4602	2726
628	4605	2716
629	4607	2706
630	4611	2696
631	4614	2686
632	4618	2677
633	4622	2668
634	4625	2658
635	4627	2648
636	4630	2638
637	4633	2629
638	4636	2619
639	4641	2610
640	4643	2600
641	4647	2591
