iter	CrossEntropy
271	0.5403303129
272	0.5402706548
273	0.540256335
274	0.5402352025
275	0.5401410407
276	0.5401240581
277	0.5400052558
278	0.5399412169
279	0.5398952468
280	0.5397319774
281	0.5395530205
282	0.5393929181
283	0.5393288526
284	0.5393233637
285	0.5393077405
286	0.5393027812
287	0.5392363632
288	0.5392187176
289	0.539031832
290	0.5389681959
291	0.5389321997
292	0.5389027778
293	0.5387942041
294	0.538737203
295	0.5387117604
296	0.5386921545
297	0.5386530922
298	0.5386180214
299	0.5385756695
300	0.5385637198
301	0.5385633985
302	0.538510688
303	0.5384407221
304	0.5383898278
305	0.5383772436
306	0.538226608
307	0.5381868891
308	0.5380638474
309	0.538031456
310	0.5379936509
311	0.5377662453
312	0.5376834039
313	0.5376139844
314	0.5375407391
315	0.5374991455
316	0.5374815133
317	0.5374101034
318	0.5373541075
319	0.5373516012
320	0.5373222311
321	0.5372723659
322	0.5372427164
323	0.5371464832
324	0.5368807849
325	0.5368019808
326	0.5367242744
327	0.5366426577
328	0.5366199131
329	0.5365861936
330	0.5365369281
331	0.5364249954
332	0.5363701332
333	0.5363186924
334	0.5363110819
335	0.5362951295
336	0.5362321538
337	0.5360956946
338	0.5359186171
339	0.5358938216
340	0.5358429971
341	0.5357516455
342	0.5356858963
343	0.5355946347
344	0.5355695238
345	0.5355188576
346	0.5354222792
347	0.5353630437
348	0.5352643573
349	0.5351485619
350	0.5351322152
351	0.5349856852
352	0.534927125
353	0.534783217
354	0.5347743243
355	0.5347732801
356	0.534643704
357	0.5346185397
358	0.5344861415
359	0.5344748709
360	0.5344596145
361	0.5343655441
362	0.5343476208
363	0.5342997797
364	0.5342979792
365	0.5341409618
366	0.5340194834
367	0.5339853694
368	0.5337818596
369	0.5336808942
370	0.5335210006
371	0.5334912595
372	0.5333765342
373	0.5333557197
374	0.5333184373
375	0.5333122977
376	0.5332809959
377	0.5332714817
378	0.5332250977
379	0.5332067418
380	0.5331592776
381	0.5330833416
382	0.5330666197
383	0.5329821857
384	0.5329407848
385	0.5329286543
386	0.5328417989
387	0.5328181982
388	0.5326862964
389	0.5326120802
390	0.5325554136
391	0.5325061367
392	0.5324655339
393	0.5324544509
394	0.5324544159
395	0.5323883361
396	0.5323232108
397	0.5323048507
398	0.5322752613
399	0.532189454
400	0.5321625396
401	0.5320900958
402	0.532087657
403	0.5320121849
404	0.5319752553
405	0.5319568857
406	0.5319234623
407	0.5319043835
408	0.5318744219
409	0.5317998526
410	0.5316999927
411	0.5316752372
412	0.5316676779
413	0.531647945
414	0.53161472
415	0.5315683047
416	0.5315624785
417	0.5315475159
418	0.5315377735
419	0.53149644
420	0.5313773152
421	0.5313587689
422	0.5313566068
423	0.5313227029
424	0.5312800183
425	0.5311228275
426	0.5311108187
427	0.5310640624
428	0.5310457695
429	0.5310380195
430	0.531033842
431	0.5309970967
432	0.5309339123
433	0.5309027264
434	0.5307695054
435	0.5306801173
436	0.5306720625
437	0.5306590162
438	0.5306520402
439	0.5306323322
440	0.5306080269
441	0.5305766233
442	0.5305705866
443	0.5304409246
444	0.5303971947
445	0.5303811173
446	0.5303534005
447	0.530287489
448	0.5302404295
449	0.5302071274
450	0.5301418793
451	0.5301228373
452	0.5300817769
453	0.530047736
454	0.5299620402
455	0.5299389824
456	0.5299346591
457	0.5298769911
458	0.5297978781
459	0.5297192294
460	0.5296871796
461	0.5296317314
462	0.5296157982
463	0.5295579509
464	0.5295237986
465	0.5295059483
466	0.5295032632
467	0.5294079352
468	0.5293417172
469	0.5293306748
470	0.5293130951
471	0.5292767712
472	0.5290747209
473	0.5290001456
474	0.5289565518
475	0.5289493028
476	0.5288280701
477	0.5287268261
478	0.5286781243
479	0.528627774
480	0.5285918024
481	0.5285607826
482	0.5285526544
483	0.5285052725
484	0.5284570947
485	0.5284060996
486	0.528229968
487	0.5281907373
488	0.5281583376
489	0.5281317329
490	0.5281259646
491	0.5280806576
492	0.528047148
493	0.5280329098
494	0.5280278672
495	0.5278903289
496	0.5277928186
497	0.5277367672
498	0.5277024392
499	0.5276936491
500	0.5275175194
501	0.527509497
502	0.5274831944
503	0.5273984711
504	0.5272868227
505	0.5272757665
506	0.5272668058
507	0.5271448155
508	0.5271223717
509	0.5270281744
510	0.5269913237
511	0.5269814084
512	0.5268945161
513	0.5268881463
514	0.5267644163
515	0.5267495761
516	0.5266452783
517	0.5266351886
518	0.5266188586
519	0.5265829922
520	0.5265503605
521	0.526500671
522	0.5263552325
523	0.5262719559
524	0.5262257183
525	0.5262051759
526	0.5261986575
527	0.5261727027
528	0.5261438552
529	0.526125903
530	0.5260986763
531	0.5260875698
532	0.5260826684
533	0.5260784298
534	0.5260411268
535	0.5260029685
536	0.5259742902
537	0.525929119
538	0.525901003
539	0.5258070523
540	0.5257774242
541	0.5257593254
542	0.5257584765
543	0.5257389297
544	0.5257326419
545	0.5257169602
546	0.5256550481
547	0.5256374556
548	0.5256170646
549	0.5255776197
550	0.5255691335
551	0.5255280725
552	0.5254825541
553	0.525376454
554	0.5253061065
555	0.5252625782
556	0.5252379587
557	0.5251881382
558	0.525154581
559	0.5251397753
560	0.5250259885
561	0.5250120543
562	0.5249982597
563	0.5249881972
564	0.5249208564
565	0.5248295355
566	0.524807277
567	0.5247807541
568	0.5247756853
569	0.5247071057
570	0.5246596262
571	0.5246122155
572	0.5245868869
573	0.5245713744
574	0.5245279148
575	0.524514053
576	0.5244929463
577	0.5244166557
578	0.5244026022
579	0.5243920882
580	0.524381676
581	0.5242897024
582	0.5242787414
583	0.5242579744
584	0.5242455144
585	0.5242253556
586	0.5242192621
587	0.5241828907
588	0.5241371139
589	0.5241097912
590	0.5240808905
591	0.5240678885
592	0.5240577631
593	0.5239391831
594	0.5239249555
595	0.5238775218
596	0.5238315315
597	0.523731294
598	0.5237064702
599	0.52365495
600	0.5236514176
601	0.5236376628
602	0.5236254502
603	0.5235624625
604	0.5234922549
605	0.5234511931
606	0.5234278025
607	0.5234020734
608	0.5233415638
609	0.5233334473
610	0.5233187878
611	0.5233135986
612	0.5232904976
613	0.5232837189
614	0.5232669232
615	0.523261948
616	0.5232544373
617	0.5232224903
618	0.5231982441
619	0.5231702243
620	0.5231579237
621	0.5231564925
622	0.5231554129
623	0.5231380327
624	0.5231328481
625	0.5231199712
626	0.5230806463
627	0.523079471
628	0.5230714802
629	0.5229777861
630	0.5229090936
631	0.5228980018
632	0.5228866809
633	0.5228596531
634	0.5228546995
635	0.5228505403
636	0.5228312446
637	0.5227448892
638	0.5227275944
639	0.522703016
640	0.5226982995
641	0.522682467
642	0.5226775615
643	0.5226645006
644	0.522621808
645	0.5225652883
646	0.5225098173
647	0.5224839521
648	0.5224535642
649	0.5224270832
650	0.5224146657
651	0.5223895773
652	0.5223850312
653	0.52235706
654	0.5222925136
655	0.5222794185
656	0.5222752559
657	0.522189064
658	0.5221847162
659	0.5221793763
660	0.5221711877
661	0.522100028
662	0.5220650881
663	0.5220464115
664	0.522037175
665	0.5220169727
666	0.522003923
667	0.5219912659
668	0.5219638149
669	0.521910828
670	0.5218542317
671	0.5217465671
672	0.5216594668
673	0.5216343594
674	0.5215937261
675	0.5215806753
676	0.5215355977
677	0.5214694962
678	0.5214482719
679	0.5214212519
680	0.5213508112
681	0.5213291826
682	0.5212345635
683	0.5212178341
684	0.5211199397
685	0.5211092022
686	0.5210857214
687	0.5210600411
688	0.5210464726
689	0.5210420381
690	0.5210051662
691	0.5210011302
692	0.5209500134
693	0.5208952736
694	0.5208797511
695	0.5208621806
696	0.5208544243
697	0.5208522645
698	0.5208207578
699	0.5207990782
700	0.5207787498
701	0.5207708414
702	0.5207418499
703	0.5206754327
704	0.5206707625
705	0.5206608783
706	0.5205967091
707	0.5205752515
708	0.5205614887
709	0.5205492044
710	0.5205449302
711	0.5205150151
712	0.5205078609
713	0.5204991919
714	0.5204914201
715	0.5204817715
716	0.5204707479
717	0.5204503398
718	0.5204437739
719	0.5204407493
720	0.520398939
721	0.5203477367
722	0.5203147557
723	0.5202960076
724	0.5202549267
725	0.5202041657
726	0.5201442574
727	0.5200835045
728	0.5200538473
729	0.5199889436
730	0.5199761742
731	0.5198850264
732	0.5198815208
733	0.519873519
734	0.5198073935
735	0.5198053525
736	0.5197945919
737	0.5197496207
738	0.5197096474
739	0.519699989
740	0.5196999381
741	0.5196727692
742	0.5196709523
743	0.5196042657
744	0.5195746368
745	0.5195384966
746	0.5195325698
747	0.519526139
748	0.5195107994
749	0.5195045696
750	0.5194975799
751	0.5194637501
752	0.5194582881
753	0.5194565294
754	0.5193690111
755	0.5193099987
756	0.519305866
757	0.5193034355
758	0.5192794798
759	0.5192748537
760	0.5192541596
761	0.5192505986
762	0.5192433135
763	0.5192257763
764	0.5192165802
765	0.5192164694
766	0.5192023022
767	0.5191910829
768	0.5191803357
769	0.5191729418
770	0.5191216664
771	0.5190795217
772	0.5190708194
773	0.5190478362
774	0.5189930577
775	0.5189811035
776	0.518976392
777	0.5189264399
778	0.5189025622
779	0.518898844
780	0.5188844785
781	0.5188720776
782	0.5188615873
783	0.5188272406
784	0.5188226662
785	0.5188182588
786	0.5187864239
787	0.5187177491
788	0.5186953685
789	0.5186796845
790	0.5186622479
791	0.518578217
792	0.5185205347
793	0.5184996139
794	0.5184707498
795	0.5183966938
796	0.518393296
797	0.5183925449
798	0.5183866857
799	0.5183676299
800	0.5183650509
801	0.5182692796
802	0.5182433135
803	0.5182346911
804	0.5182228644
805	0.5182066634
806	0.5181725942
807	0.5181662794
808	0.5181618475
809	0.5181578744
810	0.518145645
811	0.5181383713
812	0.5180767513
813	0.5180754851
814	0.5180374085
815	0.5180323916
816	0.5180080023
817	0.5179706975
818	0.5179642865
819	0.5179616779
820	0.5179464846
821	0.5179290474
822	0.5179283147
823	0.5179235464
824	0.5179018277
825	0.5178968695
826	0.5178918887
827	0.5178862361
828	0.5178777339
829	0.5178599856
830	0.5178297916
831	0.5178269876
832	0.5178053819
833	0.5177913338
834	0.5177850357
835	0.5177832406
836	0.5177316401
837	0.5177159818
838	0.5176718479
839	0.5176587608
840	0.5176458237
841	0.5176168719
842	0.5175548286
843	0.5175507969
844	0.517530899
845	0.5175192526
846	0.5175095357
847	0.5175059484
848	0.5174983561
849	0.5174936248
850	0.5174918265
851	0.5174824164
852	0.5174705547
853	0.517456663
854	0.5174426449
855	0.517398349
856	0.517378869
857	0.517368793
858	0.5173662578
859	0.5173619289
860	0.5173518633
861	0.5173053842
862	0.5173024673
863	0.5172914803
864	0.5172814426
865	0.5172739256
866	0.5172561565
867	0.5172473452
868	0.5172375039
869	0.5172225366
870	0.5172169135
871	0.5171866142
872	0.5171832243
873	0.5171399011
874	0.517131068
875	0.5171283603
876	0.5170769606
877	0.5170749102
878	0.5170578483
879	0.5170432005
880	0.5170336411
881	0.5169822113
882	0.5169190601
883	0.5168706208
884	0.5168699135
885	0.5168509224
886	0.516784636
887	0.5167549433
888	0.5167431767
889	0.5167388737
890	0.5167340363
891	0.5167252937
892	0.5166955377
893	0.5166749902
894	0.5166611231
895	0.5166014913
896	0.5165593449
897	0.5165186074
898	0.5164992466
899	0.5164649578
900	0.5164633871
901	0.5164391282
902	0.5164295526
903	0.5163747973
904	0.5163660555
905	0.5163557913
906	0.5163497895
907	0.5162885157
908	0.516287265
909	0.5162670498
910	0.5162494605
911	0.5162378186
912	0.5162197279
913	0.5162011049
914	0.5161942482
915	0.5161808037
916	0.5161703382
917	0.5161405137
918	0.5161332344
919	0.516127542
920	0.5161230551
921	0.5160985491
922	0.5160545395
923	0.5159527453
924	0.5159351256
925	0.5159309812
926	0.5158419791
927	0.5158369576
928	0.5158252531
929	0.5158252345
930	0.5158063871
931	0.5158008591
932	0.515787757
933	0.5157785432
934	0.5157694219
935	0.5157672972
936	0.5157490735
937	0.5157442859
938	0.5157090115
939	0.5155756038
940	0.5155393918
941	0.5155281733
942	0.5155241229
943	0.5155175182
944	0.5155083281
945	0.5154551146
946	0.5154506039
947	0.5154232792
948	0.51540046
949	0.5153441974
950	0.5153252887
951	0.5153054672
952	0.5152962448
953	0.5152715862
954	0.5152408302
955	0.5152213573
956	0.5152171115
957	0.5152144664
958	0.5151821137
959	0.5151693655
960	0.5151563646
961	0.5151497217
962	0.515140649
963	0.5151363576
964	0.5151301998
965	0.515129222
966	0.5151166012
967	0.5150940325
968	0.5150420746
969	0.5150381115
970	0.5150309553
971	0.5150155436
972	0.5149955339
973	0.5149860929
974	0.5149794076
975	0.5149692377
976	0.5149661887
977	0.5149573316
978	0.514954138
979	0.5149502641
980	0.5149487363
981	0.5149198113
982	0.5149109092
983	0.5148869478
984	0.5148852554
985	0.5148831429
986	0.5148743496
987	0.5148558043
988	0.51485388
989	0.51484549
990	0.5148382187
991	0.5148153458
992	0.5148004953
993	0.5147982405
994	0.5147477615
995	0.5146996476
996	0.5146960309
997	0.5146845174
998	0.5146742922
999	0.514669545
